strain	motile	facultative	growth_carboxylic_acid	growth_sugar	growth_peptide	glucose_fermenter	k_carrying_capacity	r_specific_growth_rate	g_doubling_time	biofilm_formation	n_carbon_ecoplate	auc_carrying_capacity	auc_pred	D	ncarbon_total
HAMBI-1977	1	0	2	7	1	1	0.427565047	0.833646843	0.83146381	0.285319	16	666.00325	228.6735	0.34335192808743803	23
HAMBI-1972	1	1	1	11	2	3	0.312050581	0.820623772	0.844658909	0.392653	16	345.691125	185.599	0.5368925800452644	27
HAMBI-1299	1	1	2	14	2	4	0.301864607	0.722410045	0.959492722	0.399278	15	380.17825	200.222125	0.5266532869778847	29
HAMBI-1292	1	1	0	3	2	3	0.215482466	0.849023977	0.816404718	0.188431	3	269.2255	130.8805	0.5458398257223034	6
HAMBI-2443	0	0	1	4	0	1	0.498963241	0.412778243	1.679224117	0.399278	3	157.958625	130.825	0.9718148208546381	7
HAMBI-0262	1	0	0	0	0	1	0.187735054	0.326003468	2.126195729	0.362944	9	120.581625	130.825	1.084949717670499	9
HAMBI-0403	1	0	1	2	0	0	0.206252382	0.758360388	0.914007629	0.303569	16	340.97325	163.314875	0.4789668251101809	18
HAMBI-1279	0	1	0	10	2	4	0.099442655	0.884446275	0.783707502	0.244931	7	328.505	174.00366666666667	0.5296834649903858	17
HAMBI-1923	0	0	0	1	2	0	0.05669627	0.234300491	2.958368448	0.279986	10	184.089	144.56357142857144	0.7852917416498076	11
HAMBI-0006	1	0	2	3	1	1	0.386629841	0.509971013	1.359189372	0.470611	14	504.41362499999997	177.40325	0.3517019390584464	17
HAMBI-2159	1	0	3	7	0	1	0.406740709	0.398287684	1.740317886	0.244931	18	624.746375	172.44525000000002	0.2760244107058645	25
HAMBI-0105	0	0	1	6	1	1	0.473820741	0.339024646	2.044533305	0.268556	15	363.06375	193.917375	0.5341138436431618	21
HAMBI-1842	1	0	0	9	0	1	0.428166099	0.270343491	2.563949949	0.2945	8	233.514	171.4785	0.7343392687376346	17
HAMBI-1287	1	1	2	12	3	3	0.387744757	0.619079739	1.119641197	0.335181	16	465.01957142857145	233.73442857142857	0.5026335297101167	28
HAMBI-2494	1	0	3	9	0	1	0.37661908	0.418844995	1.654901429	0.276833	21	510.67924999999997	183.10575	0.3585533385192369	30
HAMBI-2792	0	0	0	0	0	0	0.243003144	0.334865345	2.069928077	0.279986	0	121.10975	140.611125	1.084949717670499	0
HAMBI-1988	0	0	2	15	0	2	0.379086658	0.089235126	7.76764946	0.240056	3	380.17825	177.40325	0.5368925800452644	18
HAMBI-3031	0	0	1	9	0	2	0.338082085	0.200186876	3.462500618	0.289042	10	184.089	146.954	0.8995167926807581	19
HAMBI-1896	0	0	0	6	0	0	0.324579121	0.352044528	1.968919059	0.366514	16	214.120125	156.904125	0.7327855100028546	22
HAMBI-0097	0	0	2	2	0	0	0.198313455	0.36930207	1.876911173	0.306514	8	163.077	146.6905	0.8995167926807581	10
HAMBI-2160	1	0	0	1	0	0	0.051625781	0.227472073	3.047174857	0.251833	9	269.2255	146.954	0.5458398257223034	10
HAMBI-2164	1	0	1	5	0	1	0.097600234	0.545281868	1.271172253	0.419278	2	157.958625	130.8805	0.8285745713474019	7
HAMBI-2659	1	0	1	6	1	0	0.081574677	0.80488747	0.86117278	0.360611	6	231.2415	159.762	0.6908880975084489	12
HAMBI-3237	1	0	1	4	0	1	0.32322581	0.114730733	6.041512684	0.303569	7	121.10975	117.69625	0.9718148208546381	11
